player_id,player_name,team_name,season_name,primary_position,cluster,role,PC1,PC2,PC3,PC4,PC5,PC6
6869,Alejandro Arribas Garrido,Juárez,2021/2022,Left Centre Back,1,Aggressive Stopper,0.5328969761267737,0.6140294695908993,-0.20552795857082434,0.27926571737106093,0.2136568674591265,-0.0021268383470950994
8818,Jorge Meré Pérez,América,2021/2022,Left Centre Back,1,Aggressive Stopper,0.2745690003205152,0.5305077135277169,-0.3217141381104444,0.5711749980391698,-0.16788014131961407,0.08177281695323414
26272,Ventura Alvarado Aispuro,Juárez,2022/2023,Right Centre Back,1,Aggressive Stopper,0.4211178678089826,-0.014511247388383101,-0.43860323488301595,0.29654749392471624,0.3120000856858517,-0.2697840565451165
34301,Luis Fernando León Bermeo,Atlético San Luis,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.6061571897917635,-0.5888824498350239,-0.13948250112364277,0.37919074702615485,-0.09410631384224415,0.1281422230098783
30111,Felix Eduardo Torres Caicedo,Santos Laguna,2022/2023,Right Centre Back,1,Aggressive Stopper,0.7005911592622084,0.16999240842007438,-0.5417251371469053,-0.2931515384168042,-0.22327381883198646,0.14765504175334185
74258,Julien  Celestine,León,2022/2023,Centre Back,0,Ball-Playing Libero,-0.10260922301432412,-0.5322539707947513,-0.19825113537175498,0.14509100034833283,0.19514418664646047,0.24734156589215164
5738,Anderson Santamaría Bardales,Atlas,2022/2023,Right Centre Back,1,Aggressive Stopper,-0.27930721134306563,0.6710552851470852,0.32528024783504705,0.07101721292769764,-0.11111445142900096,0.15395068158652514
28669,Luis Alfonso Abram Ugarelli,Cruz Azul,2022/2023,Left Centre Back,0,Ball-Playing Libero,0.2055040781552553,-0.6693842927153613,0.14218724738866745,0.41250884950513556,-0.4614756556785181,0.19964446924323806
28617,Andrés Felipe Mosquera Guardia,Toluca,2022/2023,Right Centre Back,2,Positional Blocker,-0.7981655641794508,-0.1679419732364078,-0.05194699238710161,0.30466424391072994,0.017063134126653636,-0.2859201295583956
5680,Oscar Fabián Murillo Murillo,Pachuca,2022/2023,Left Centre Back,1,Aggressive Stopper,0.4441903686162199,-0.04577159318786106,-0.6295102942889303,-0.5128567424350315,-0.11194575326098757,-0.050166427680137377
27354,Kevin Alexander Balanta Lucumí,Querétaro,2022/2023,Right Centre Back,1,Aggressive Stopper,0.7259356757957027,0.17116062460852524,0.05192022160275925,-0.08226324556959422,-0.2524737673900215,0.4101545302555557
28520,William José Tesillo Gutiérrez,León,2022/2023,Left Centre Back,1,Aggressive Stopper,0.11107697231346121,0.5348870754211504,-0.4255878803738092,0.2033608838827535,-0.34669359790211707,-0.18618224928955693
29597,Jaine Stiven Barreiro Solis,León,2022/2023,Right Centre Back,1,Aggressive Stopper,0.06345749788426273,0.8158887371057273,-0.12899092049722444,-0.05333127678055917,-0.34101131178406086,-0.009581805143629994
37625,Enzo Gabriel Martínez Suárez,Querétaro,2022/2023,Left Centre Back,1,Aggressive Stopper,0.3764716891275379,0.19803250265225347,0.6455383424965137,-0.4101668706370523,-0.02860443382893473,0.0802177714591046
17054,Emiliano Daniel Velázquez Maldonado,Juárez,2022/2023,Right Centre Back,1,Aggressive Stopper,0.48846809633463895,0.35298894376249784,0.2476740923456929,-0.16849978235441146,0.14786408248375435,0.2595622043173019
36296,Fabricio Orosmán Formiliano Duarte,Necaxa,2022/2023,Left Centre Back,0,Ball-Playing Libero,0.20222578861142584,-0.312158281762319,-0.7295022839398642,-0.023200537158255152,0.2633344521321967,-0.1175343280705362
35690,Sebastián Enzo Cáceres Ramos,América,2022/2023,Left Centre Back,2,Positional Blocker,-0.6291892103658321,0.24091655864492403,-0.19276908596142597,-0.20216509574754138,-0.26438757223012554,0.16495487872723674
43553,Emanuel Gularte Méndez,Puebla,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.2035635234296446,-0.2546485670262212,0.12574595277685785,-0.6590995644133977,0.004184439302104757,-0.06057675590084075
37625,Enzo Gabriel Martínez Suárez,Pachuca,2022/2023,Left Centre Back,2,Positional Blocker,-0.27572768969227884,0.37642194436697746,-0.4360382351463131,-0.4439314379719491,-0.324171776015697,-0.06719298514834651
28289,Gastón Alexis Silva Perdomo,Puebla,2022/2023,Left Centre Back,1,Aggressive Stopper,-0.09930620670641693,0.4466898919045385,0.4748359273209267,0.5154234144232905,-0.19727496274601455,-0.11138605319833561
26407,Bruno Amílcar Valdez Rojas,América,2022/2023,Right Centre Back,1,Aggressive Stopper,0.11379209259316993,0.3834516296174277,-0.7298877738080576,0.04867702680157964,-0.15971691478997935,0.24563591324814285
28159,Juan Marcelo Escobar Chena,Cruz Azul,2022/2023,Right Centre Back,2,Positional Blocker,-0.4589717134549516,0.000953650999181855,-0.4962744118866121,-0.28748680440077223,-0.07403759940146493,-0.34137268921745667
273518,Enrique de Jesús Cedillo Ortíz,Mazatlán,2022/2023,Right Centre Back,1,Aggressive Stopper,-0.17045138244240543,0.8035351914420336,-0.09496533059005355,-0.4754130003872547,0.23556233574141774,-0.13132689103883516
28535,Néstor Vicente Vidrio Serrano,Mazatlán,2022/2023,Right Centre Back,1,Aggressive Stopper,0.31556431282515157,0.4220886701555073,-0.6420871393382808,0.17049198339283714,0.19372507952317056,0.16319506094723146
76239,Jesús Fernando Piñuelas Sandoval,Atlético San Luis,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.4773206611913377,-0.6298685205567858,0.3677270698452605,0.061483610261101856,-0.107801302156654,0.09363596032292552
131162,José Juan García Manríquez,Atlético San Luis,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.4934943009994878,-0.6770315350146848,-0.02014156813316983,-0.1265842143016903,0.326561160228234,-0.18004340136862546
274863,Rodrigo Armando González Cárdenas,Atlético San Luis,2022/2023,Left Centre Back,0,Ball-Playing Libero,0.6642710060237103,-0.49568725143360115,0.2211813809770204,0.26131080258007516,0.09808599164188171,0.24305819340589802
26376,Ronaldo De Jesús Prieto Ramírez,Santos Laguna,2022/2023,Left Centre Back,1,Aggressive Stopper,0.7326293497474061,0.23831709476020693,-0.3148569371347164,-0.2363027593511577,0.20204669472131837,0.28216077658072986
46156,José Ricardo Galindo Gutiérrez,Pumas UNAM,2022/2023,Right Centre Back,1,Aggressive Stopper,0.11272517623474756,0.6217118295644101,0.5636799122741801,-0.14222746504259562,0.4596377703514304,0.05512095617454656
276096,Jonathan Alejandro Sánchez Hernández,Pumas UNAM,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.5174082891956698,-0.640771839575084,0.4446690137001478,0.2252780446084135,-0.23943279868949466,0.03382753010150328
34361,Óscar Haret Ortega Gatica,Toluca,2022/2023,Right Centre Back,0,Ball-Playing Libero,-0.01662811339148535,-0.23597967273177803,-0.027458300140511666,0.026433346602103874,0.5557784643395568,-0.18045750023381163
28557,Jorge Emmanuel Torres Nilo,Toluca,2022/2023,Left Centre Back,2,Positional Blocker,-0.5066614852380602,0.4871473278467632,0.4469690685959764,0.08678979929022008,0.27274946792930654,-0.3634476762885748
16539,Diego Antonio Reyes Rosales,Tigres UANL,2022/2023,Left Centre Back,1,Aggressive Stopper,-0.30828606936296904,0.5640631442185677,-0.6447804859769041,-0.07689338806622772,0.11342067858239863,0.16292879387527673
31434,Carlos Alejandro Robles Jiménez,Atlas,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.23362724385774322,-0.20715321897038588,0.48808298506738423,0.18514347620479768,0.00806474791763458,0.13412532372198266
75131,Gaddi Axel Aguirre Ledesma,Atlas,2022/2023,Left Centre Back,1,Aggressive Stopper,0.23875228902054169,0.5821474606780136,-0.3821246411909385,-0.30967326627032377,-0.08241471889922711,-0.5644903817018009
30024,Jesús Alejandro Gómez Molina,Atlas,2022/2023,Left Centre Back,2,Positional Blocker,-0.30156524672879714,0.5552596389437608,0.038977917316163825,-0.307453498727866,-0.4006215240090516,-0.2583711420754867
5561,Hugo Ayala Castro,Tigres UANL,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.1494135843227657,0.01900038884216176,0.5138740019033996,0.25010580888483225,0.0397472754918909,0.4130706012556531
32579,Eduardo Santiago Tercero Méndez,Tigres UANL,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.6971517872804964,-0.2333263925133694,0.14658452381252643,-0.372633337540416,-0.19056238339906298,0.0462804830079936
32164,Jordan Jesús Silva Díaz,Querétaro,2022/2023,Left Centre Back,1,Aggressive Stopper,-0.12130571901143326,0.649222246321048,-0.6344362229507741,-0.16997820258986465,0.021407595661585885,-0.03911758188357831
35037,Miguel Ángel Tapias Dávila,Pachuca,2022/2023,Left Centre Back,1,Aggressive Stopper,0.035042827746824275,0.2658461128056765,-0.834911672869359,-0.14566950510319382,-0.09871807172213554,0.2610303165989981
47213,José Castillo Pérez,Pachuca,2022/2023,Right Centre Back,1,Aggressive Stopper,0.18816896375908926,0.6963111335439927,0.2119197079478769,-0.06608433784626733,-0.2888542535531448,-0.27274345568417796
274864,Paul Bellón Saracho,León,2022/2023,Left Centre Back,2,Positional Blocker,-0.31128785095484696,0.16679586034215485,0.41825452683686304,0.16264782145777443,-0.3369201008279201,-0.04627490260880037
26317,Adrián Mora Barraza,Juárez,2022/2023,Left Centre Back,1,Aggressive Stopper,0.43256989993206,0.518829157181096,-0.28404921570912806,-0.02583428952018281,0.13881040949444365,0.35212855330405385
5564,Carlos Joel Salcedo Hernández,Juárez,2022/2023,Left Centre Back,0,Ball-Playing Libero,-0.2722648397535598,-0.20805500375899652,-0.582455769843881,0.5039273090171856,0.3647544043926819,-0.0479139781577211
26268,Alexis Francisco Peña López,Necaxa,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.1837476021520904,-0.44566799765142223,-0.4806559902892695,-0.3702082702725627,-0.25972637660636055,0.049497304713728485
27952,Luis Fernando Quintana Vega,Necaxa,2022/2023,Left Centre Back,2,Positional Blocker,-0.48530416351978267,-0.21364475145569733,-0.6258506827537489,-0.11459581655446736,0.12379615002822417,-0.1384597801071707
33126,Israel Reyes Romero,América,2022/2023,Right Centre Back,1,Aggressive Stopper,-0.4407405969321164,0.5757814223728197,-0.3667371503229025,0.2557897983145878,-0.05102188534984655,0.35066479681106083
11388,Néstor Alejandro Araújo Razo,América,2022/2023,Right Centre Back,2,Positional Blocker,-0.6975068073152539,-0.052726182437798565,-0.5256902131878947,-0.05915966574414171,-0.14527684263855478,0.19664691781057797
31315,Gilberto Sepúlveda López,Guadalajara,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.41504134892421335,-0.4792470522935642,-0.5667666639705884,0.06572315128685559,-0.13755906768546852,0.07803185072506627
52244,Luis Alejandro Olivas Salcedo,Guadalajara,2022/2023,Left Centre Back,0,Ball-Playing Libero,-0.2656066384864811,-0.057514331863722186,-0.04969491463865857,0.6541984200828821,0.08556590665960132,0.11662370068743445
111731,Jesús Gilberto Orozco Chiquete,Guadalajara,2022/2023,Left Centre Back,1,Aggressive Stopper,0.2978192367785183,0.5014171276998934,0.7075142483916285,-0.08480846855799379,-0.317501064569725,-0.0027829981810584136
32916,Diego Eduardo De Buen Juárez,Puebla,2022/2023,Right Centre Back,2,Positional Blocker,0.011551609989126663,-0.22010986000525393,0.560204386976913,-0.381166278762179,-0.012044866978228473,0.5154359094344256
136587,Rafael Guerrero Ramirez,Cruz Azul,2022/2023,Right Centre Back,1,Aggressive Stopper,-0.3162718577949173,0.48735146813788766,-0.1741687816996743,0.6070348692253015,0.015615808482582774,0.21714742520116662
26302,Hugo Isaac Rodríguez De La O,Santos Laguna,2022/2023,Left Centre Back,0,Ball-Playing Libero,0.46530867849260493,-0.5091949332244128,-0.46557479016816816,0.06481458324241224,-0.4194721058180644,0.1609358291027787
26259,Hiram Ricardo Mier Alanis,Guadalajara,2022/2023,Centre Back,0,Ball-Playing Libero,-0.12114213866679205,-0.60724087121673,-0.16949323498279073,0.17041935770526903,-0.4987509583186749,-0.25587007065512507
10570,Antonio Briseño Vázquez,Guadalajara,2022/2023,Left Centre Back,0,Ball-Playing Libero,0.1366246593744344,-0.4792321284962536,-0.5399934533589121,-0.4811867541618055,-0.0043420681929785794,-0.21294496174492575
37899,Jesús Everardo Rubio Quintero,Tijuana,2022/2023,Left Centre Back,1,Aggressive Stopper,0.8171649469422346,-0.13879996028915373,0.19113474009660822,0.15319437423513085,0.1408218496641721,-0.3423001900997503
359721,Rodrigo Godínez Orozco,Tijuana,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.685004194009707,-0.3569379707410411,-0.07427974325855376,-0.21801945455610072,-0.2553635774958833,0.13975166859946758
43476,Victor Andrés Guzmán Olmedo,Tijuana,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.5555417220920029,-0.7184057142900777,0.00237146372817926,0.11842529188689731,-0.03419070407653797,0.06617608885088694
91049,Rodrigo Parra Vázquez,Tijuana,2022/2023,Right Centre Back,1,Aggressive Stopper,0.6617501686933378,0.26869513803415285,0.4022185735563357,0.06502753833551288,0.2241035247582178,0.08680515955042968
26327,Julio César Domínguez Juárez,Cruz Azul,2022/2023,Right Centre Back,2,Positional Blocker,-0.5938588178912283,0.12765637528842402,0.44910716063731776,0.47259362325745546,-0.2453496022217116,-0.04565533609015546
43476,Victor Andrés Guzmán Olmedo,Monterrey,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.20287856094591103,-0.5964501589879684,0.0915347178081833,0.03871858297156705,-0.17312667826850353,-0.29306773752070975
26285,George Ulises Corral Ang,Puebla,2022/2023,Right Centre Back,0,Ball-Playing Libero,-0.2163129648498694,0.013481235756347949,0.4849435535273181,0.44966732420135924,0.2603103258468626,0.07348145527241487
296106,Rafael Eduardo Fernández Inzunza,Querétaro,2022/2023,Left Centre Back,1,Aggressive Stopper,0.2200378712995972,0.3848594613357401,0.7237469763111083,-0.24957295195734583,-0.0026035121897961372,0.024563828817685207
43314,Daniel Ángel Cervantes Fraire,Querétaro,2022/2023,Right Centre Back,1,Aggressive Stopper,0.5898791175769242,0.09488000933648387,0.5080254784408493,0.34469947298143905,-0.2831207496379078,0.05419023299055252
50551,Luis Gustavo Sánchez Saucedo,Monterrey,2022/2023,Left Centre Back,2,Positional Blocker,-0.3715401089920322,0.21757015723772619,0.14558252128414573,-0.0689377030738832,-0.27101983953387104,0.3662120911636906
26368,César Jasib Montes Castro,Monterrey,2022/2023,Right Centre Back,2,Positional Blocker,-0.2053654785226651,-0.0641572976765021,-0.16189918753339158,-0.05645276144267171,-0.736521055296008,-0.4442441991744162
5573,Héctor Alfredo Moreno Herrera,Monterrey,2022/2023,Left Centre Back,2,Positional Blocker,-0.2731230306736007,-0.697434132285702,-0.006855860005448598,0.23804159227129185,-0.40462139023390664,0.380817584765345
281363,Julio Alejandro Pérez Lores,Pachuca,2022/2023,Right Centre Back,2,Positional Blocker,-0.10585558569741163,-0.11328747491369352,-0.26495932711629544,-0.4515804508683559,-0.5652680133019776,-0.12764620314912958
32164,Jordan Jesús Silva Díaz,Cruz Azul,2022/2023,Right Centre Back,1,Aggressive Stopper,0.27783556211868565,0.30326199031874485,-0.4427070720351049,0.3962739718555965,0.0411514229814917,-0.17481292743092422
24074,Oswaldo Alanís Pantoja,Mazatlán,2022/2023,Left Centre Back,0,Ball-Playing Libero,-0.2891980869028265,-0.6212914807921708,-0.23695517673486982,0.524613133994701,0.04262046358738726,-0.07330255380990482
35036,Efraín Orona Zavala,Mazatlán,2022/2023,Left Centre Back,0,Ball-Playing Libero,0.39040580244598483,-0.8017351072448254,-0.045303055221421105,-0.061044119692004836,-0.11556184746194348,-0.12891637764800695
133836,Arturo Ortíz Martínez,Pumas UNAM,2022/2023,Right Centre Back,2,Positional Blocker,-0.7844160267866774,0.3396491135052699,0.11118733177354072,-0.20102663049309188,-0.20741250954831544,-0.15116750975429574
337757,Miguel Ángel Vázquez García,América,2022/2023,Left Centre Back,1,Aggressive Stopper,0.5913479428048115,0.3353499415198273,0.0948806728171615,0.40427925981399887,-0.17216322788192537,0.2189981571348598
36167,Ramón Juárez Del Castillo,Atlético San Luis,2022/2023,Left Centre Back,0,Ball-Playing Libero,0.3043001576747893,-0.7016255861490367,0.02366938459226457,0.3890579042372261,0.2102277324078235,-0.1110204172403707
35861,Valber Roberto Huerta Jerez,Toluca,2022/2023,Left Centre Back,1,Aggressive Stopper,-0.4989817843815903,0.10615876272453197,-0.6187922817035607,0.42856042525010346,0.10451805889828636,0.21651474397986667
26256,Igor Lichnovsky Osorio,Tigres UANL,2022/2023,Right Centre Back,1,Aggressive Stopper,-0.28956296579594176,0.2425649546690418,-0.6767843443464847,0.28006647538063906,-0.04000274174808872,0.1398342728536638
36144,Nicolás Andrés Díaz Huincales,Tijuana,2022/2023,Left Centre Back,1,Aggressive Stopper,0.03656882242346502,0.9088482385201954,0.10035551097163853,-0.3338248027671652,-0.013402876719623032,-0.09658884655846238
28434,Sebastián Ignacio Vegas Orellana,Monterrey,2022/2023,Left Centre Back,0,Ball-Playing Libero,0.17892866888552178,-0.16098721982213945,0.3609243242801259,0.32009664088484313,-0.6736330786801696,-0.33007054757443316
7794,Samir Caetano de Souza Santos,Tigres UANL,2022/2023,Left Centre Back,1,Aggressive Stopper,-0.2594560853975776,0.5012991503126883,-0.7160415501663033,-0.053494343966093476,0.1338307461165139,0.08174184965680618
4418,Matheus Dória Macedo,Santos Laguna,2022/2023,Left Centre Back,0,Ball-Playing Libero,0.38219804832234294,-0.04327660793946823,0.04835051087745708,-0.38661232702396964,-0.7616140464774792,0.3419965020390363
78286,Lucas Jaques Varone Maia,Puebla,2022/2023,Left Centre Back,0,Ball-Playing Libero,0.5091814389611884,-0.2954324331078898,-0.0612732208154015,-0.5916037706234404,0.25446847375863463,0.07572059058511445
26408,Víctor Emanuel Aguilera,Atlas,2022/2023,Right Centre Back,1,Aggressive Stopper,0.1468676662298774,0.16398326485312398,-0.6536947286229605,0.46501354072134465,0.025958658108080027,-0.43162444384441967
28425,Hugo Martín Nervo,Atlas,2022/2023,Left Centre Back,0,Ball-Playing Libero,0.1531347392656012,-0.5889530314973329,-0.6045210172621747,0.05309302477590214,0.08329660310954443,0.10670108868143631
6794,Gustavo Daniel Cabral Cáceres,Pachuca,2022/2023,Right Centre Back,1,Aggressive Stopper,-0.028889268392952184,0.20523026038986242,-0.6786210793997587,-0.06107842997193605,-0.1609003399538447,-0.423293904134701
35545,Adonis Uriel Frías,León,2022/2023,Centre Back,2,Positional Blocker,-0.31622961699368735,0.21797138606241065,-0.33731253123708815,-0.22614825558706847,0.17317182081440058,0.4991117688149693
27795,Juan Pablo Segovia González,Necaxa,2022/2023,Left Centre Back,0,Ball-Playing Libero,-0.19923102053699102,-0.3229878161913787,-0.09493948615129098,0.6593642301992174,-0.17838266751773554,0.23095865502363652
4629,José Ramiro Funes Mori,Cruz Azul,2022/2023,Left Centre Back,2,Positional Blocker,-0.5826511874748587,-0.1815944381460864,-0.5804822374117474,-0.025386614003531188,-0.18088891215587202,0.3260725334146573
30806,Lisandro Ezequiel López,Tijuana,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.16485210749689674,-0.022787259750728442,-0.5374164724474177,-0.41971959247135643,0.12217770869391649,-0.540912313623044
29199,Miguel Ángel Barbieri,Querétaro,2022/2023,Left Centre Back,0,Ball-Playing Libero,0.43024269158375356,-0.24515981809995596,0.10513139562038647,-0.7186814900554982,-0.12969167075934826,-0.05690032225116073
33113,Facundo Ezequiel Almada,Mazatlán,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.27986444120912646,-0.426471755536683,0.12427982455976844,-0.47481125889211867,0.09658722018612682,-0.15842313034337385
8477,Nicolás Omar Freire,Pumas UNAM,2022/2023,Left Centre Back,0,Ball-Playing Libero,-0.01775822717026904,-0.006863517768240798,-0.5125549824016609,-0.632736441253002,-0.1723245173245541,0.35240672287309227
8818,Jorge Meré Pérez,Mazatlán,2022/2023,Right Centre Back,0,Ball-Playing Libero,0.06058094394822347,-0.30604425927449264,-0.24409482291896015,0.2904663415021716,0.581345325604203,-0.5406842603137587
27967,Unai Bilbao Arteta,Atlético San Luis,2022/2023,Left Centre Back,0,Ball-Playing Libero,0.21939484923168243,-0.8150735406032503,-0.3195016057378256,-0.1424280359775773,-0.16257893037311733,0.04667086099656331
6869,Alejandro Arribas Garrido,Juárez,2022/2023,Right Centre Back,1,Aggressive Stopper,0.35049601840075406,0.1535856488485621,-0.6252411881960092,0.3834440522079968,0.43569793081128755,0.11409115782549614
26272,Ventura Alvarado Aispuro,Mazatlán,2023/2024,Left Centre Back,2,Positional Blocker,-0.4319097005600059,-0.551228925635418,-0.17559536015718005,-0.11001771351719941,-0.22543820487562394,-0.3880106356691676
30747,Jhon Carlos Chancellor Cedeño,Necaxa,2023/2024,Left Centre Back,0,Ball-Playing Libero,0.3899474159047682,-0.32553536975421193,0.14899477011669027,-0.1752445057814713,0.3819545552174671,-0.27447390416879963
